<program>	$
<declaration>	<end_symbol>, <until>
<datatype>	<iden>, <numeric_type>, <non_numeric_type>
<stmt>	<end_symbol>, <until>
<if_stmt>	<end_symbol>, <until>
<while_stmt>	<end_symbol>, <until>
<repeatuntil_stmt>	<end_symbol>, <until>
<until_stmt>	<end_symbol>, <until>
<repeat_stmt>	<end_symbol>, <until>
<assignment_stmt>	<end_symbol>, <until>
<input>	
<output>	
<string_expr>	<end_symbol>
<stmt_list>	<end_program>
<var_list>	<end_symbol>
<math_expr>	<end_symbol>
<operator>	<iden>, <numeric_value>
<condition>	<if>, <repeat>, <until>, <numeric_type>, <non_numeric_type>, <then>, <end_symbol>
<rel_expr>	<if>, <repeat>, <until>, <numeric_type>, <non_numeric_type>, <then>, <end_symbol>
